indunamesw,level,indunamesw1,indunamesw2,indunamesw3,indunamesw_path,raw_leaf_names,raw_paths,occurrence_count
交通运输,1,交通运输,,,交通运输,交通运输,交通运输 > 交通运输 > 交通运输,27
物流,2,交通运输,物流,,交通运输 > 物流,物流,交通运输 > 物流 > 物流,33
中间产品及消费品供应链服务,3,交通运输,物流,中间产品及消费品供应链服务,交通运输 > 物流 > 中间产品及消费品供应链服务,中间产品及消费品供应链服务,交通运输 > 物流 > 中间产品及消费品供应链服务,57
仓储物流,3,交通运输,物流,仓储物流,交通运输 > 物流 > 仓储物流,仓储物流,交通运输 > 物流 > 仓储物流,148
公路货运,3,交通运输,物流,公路货运,交通运输 > 物流 > 公路货运,公路货运,交通运输 > 物流 > 公路货运,71
原材料供应链服务,3,交通运输,物流,原材料供应链服务,交通运输 > 物流 > 原材料供应链服务,原材料供应链服务,交通运输 > 物流 > 原材料供应链服务,35
快递,3,交通运输,物流,快递,交通运输 > 物流 > 快递,快递,交通运输 > 物流 > 快递,15
跨境物流,3,交通运输,物流,跨境物流,交通运输 > 物流 > 跨境物流,跨境物流,交通运输 > 物流 > 跨境物流,68
机场,3,交通运输,航空机场,机场,交通运输 > 航空机场 > 机场,机场,交通运输 > 航空机场 > 机场,34
航空运输,3,交通运输,航空机场,航空运输,交通运输 > 航空机场 > 航空运输,航空运输,交通运输 > 航空机场 > 航空运输,83
港口,3,交通运输,航运港口,港口,交通运输 > 航运港口 > 港口,港口,交通运输 > 航运港口 > 港口,122
航运,3,交通运输,航运港口,航运,交通运输 > 航运港口 > 航运,航运,交通运输 > 航运港口 > 航运,102
铁路公路,2,交通运输,铁路公路,,交通运输 > 铁路公路,铁路公路,交通运输 > 铁路公路 > 铁路公路,6
公交,3,交通运输,铁路公路,公交,交通运输 > 铁路公路 > 公交,公交,交通运输 > 铁路公路 > 公交,92
铁路运输,3,交通运输,铁路公路,铁路运输,交通运输 > 铁路公路 > 铁路运输,铁路运输,交通运输 > 铁路公路 > 铁路运输,85
高速公路,3,交通运输,铁路公路,高速公路,交通运输 > 铁路公路 > 高速公路,高速公路,交通运输 > 铁路公路 > 高速公路,320
传媒,1,传媒,,,传媒,传媒,传媒 > 传媒 > 传媒,10
出版,2,传媒,出版,,传媒 > 出版,出版,传媒 > 出版 > 出版,3
其他出版,3,传媒,出版,其他出版,传媒 > 出版 > 其他出版,其他出版,传媒 > 出版 > 其他出版,2
大众出版,3,传媒,出版,大众出版,传媒 > 出版 > 大众出版,大众出版,传媒 > 出版 > 大众出版,58
教育出版,3,传媒,出版,教育出版,传媒 > 出版 > 教育出版,教育出版,传媒 > 出版 > 教育出版,35
广告营销,2,传媒,广告营销,,传媒 > 广告营销,广告营销,传媒 > 广告营销 > 广告营销,30
广告媒体,3,传媒,广告营销,广告媒体,传媒 > 广告营销 > 广告媒体,广告媒体,传媒 > 广告营销 > 广告媒体,233
营销代理,3,传媒,广告营销,营销代理,传媒 > 广告营销 > 营销代理,营销代理,传媒 > 广告营销 > 营销代理,270
影视院线,2,传媒,影视院线,,传媒 > 影视院线,影视院线,传媒 > 影视院线 > 影视院线,2
影视动漫制作,3,传媒,影视院线,影视动漫制作,传媒 > 影视院线 > 影视动漫制作,影视动漫制作,传媒 > 影视院线 > 影视动漫制作,269
院线,3,传媒,影视院线,院线,传媒 > 影视院线 > 院线,院线,传媒 > 影视院线 > 院线,9
数字媒体,2,传媒,数字媒体,,传媒 > 数字媒体,数字媒体,传媒 > 数字媒体 > 数字媒体,2
其他数字媒体,3,传媒,数字媒体,其他数字媒体,传媒 > 数字媒体 > 其他数字媒体,其他数字媒体,传媒 > 数字媒体 > 其他数字媒体,112
图片媒体,3,传媒,数字媒体,图片媒体,传媒 > 数字媒体 > 图片媒体,图片媒体,传媒 > 数字媒体 > 图片媒体,1
文字媒体,3,传媒,数字媒体,文字媒体,传媒 > 数字媒体 > 文字媒体,文字媒体,传媒 > 数字媒体 > 文字媒体,8
视频媒体,3,传媒,数字媒体,视频媒体,传媒 > 数字媒体 > 视频媒体,视频媒体,传媒 > 数字媒体 > 视频媒体,22
门户网站,3,传媒,数字媒体,门户网站,传媒 > 数字媒体 > 门户网站,门户网站,传媒 > 数字媒体 > 门户网站,48
音频媒体,3,传媒,数字媒体,音频媒体,传媒 > 数字媒体 > 音频媒体,音频媒体,传媒 > 数字媒体 > 音频媒体,2
游戏,2,传媒,游戏,,传媒 > 游戏,游戏Ⅲ,传媒 > 游戏Ⅱ > 游戏Ⅲ,88
电视广播,2,传媒,电视广播,,传媒 > 电视广播,电视广播Ⅲ,传媒 > 电视广播Ⅱ > 电视广播Ⅲ,62
社交,2,传媒,社交,,传媒 > 社交,社交Ⅲ,传媒 > 社交Ⅱ > 社交Ⅲ,10
公用事业,1,公用事业,,,公用事业,公用事业,公用事业 > 公用事业 > 公用事业,9
燃气,2,公用事业,燃气,,公用事业 > 燃气,燃气Ⅱ|燃气Ⅲ,公用事业 > 燃气Ⅱ > 燃气Ⅱ|公用事业 > 燃气Ⅱ > 燃气Ⅲ,244
电力,2,公用事业,电力,,公用事业 > 电力,电力,公用事业 > 电力 > 电力,196
