起点节点id,起点节点名称,终点节点code,终点节点名称,关系类型,开始时间,结束时间
FOOD000000,食品饮料行业,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000001,酒类制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000002,乳品与非酒精饮料制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000003,调味发酵品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000004,休闲食品与烘焙制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000005,肉制品与预制便捷食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000006,食品原料、辅料与包材供应链,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD000007,食品饮料流通与消费渠道,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001001,白酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001002,啤酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001003,工业啤酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001007,葡萄酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001008,黄酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD001009,预调酒,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002001,包装饮用水,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002002,碳酸饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002003,茶饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002005,果汁与果蔬饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002007,功能饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002009,植物蛋白饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002011,含乳饮料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002012,乳制品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002013,常温液态奶,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002015,低温乳制品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD002016,奶粉与干乳制品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003001,发酵调味品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003002,复合调味料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003003,酱油,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003004,食醋,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003005,豆瓣酱与腐乳,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003007,中式复合调味料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003010,餐饮定制调味料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003011,基础调味品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD003013,味精与鸡精,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004001,休闲食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004002,坚果炒货,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004003,卤味与肉类零食,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004004,烘焙食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004005,短保烘焙,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004006,中长保烘焙,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004007,糖果巧克力,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004009,蜜饯果冻,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD004010,饼干,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005001,速冻食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005002,速冻米面食品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005004,速冻火锅料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005005,肉制品加工,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005006,熟肉制品加工,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005007,方便食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005008,预制菜与餐食加工,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005009,净菜产品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005010,料理包与半成品菜,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005011,保健食品制造,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005012,高温肉制品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005014,方便面与冲泡食品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD005016,营养补充食品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006001,农产品原料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006002,粮食作物,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006003,制粉用小麦,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006005,油料作物,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006007,糖料作物,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006009,畜禽产品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006010,水产品,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006011,乳品原料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006013,果蔬原料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006015,茶叶与植物原料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006017,食品添加剂与配料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006018,甜味剂,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006020,香精香料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006023,乳化稳定剂与胶体,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006025,营养强化剂,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006026,酶制剂与发酵配料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006028,包装材料,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006029,纸包装,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006030,塑料包装,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006032,金属包装,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006035,复合软包装,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD006037,标签与包装耗材,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007001,线下现代渠道,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007002,商超卖场,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007003,便利店与折扣店,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007004,传统流通渠道,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007005,餐饮与团餐渠道,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007006,线上电商渠道,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007009,终端消费场景,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007011,餐饮消费,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007013,冷链物流与仓储,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007015,冷链仓储,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007017,销地冷库,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007018,冷链运输,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
FOOD007019,干线冷链运输,FOOD,食品饮料,BELONGS_TO_INDUSTRY,2026-07-28,
