起点节点code,起点节点名称,终点节点id,终点节点名称,主体产业链关系,开始时间,结束时间,数据来源
2312154,上海中道糖业有限公司,FB000130,糖料作物,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3264195,山东香驰健源生物科技有限公司,FB000210,甜味剂,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2799990,浙江金海蕴生物股份有限公司,FB000490,保健食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2924578,山西百澳智能玻璃股份有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
334046,无锡环宇包装材料有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2878276,无锡中星新材料科技股份有限公司,FB000320,塑料包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2843466,山东嘉华生物科技股份有限公司,FB000121,大豆及蛋白粕,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1794656,广州摩登百货股份有限公司,FB000911,商超卖场,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
1352064,无锡洪汇新材料科技股份有限公司,FB000360,标签与包装耗材,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3270302,丰润生物科技股份有限公司,FB000200,食品添加剂与配料,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
3262225,新疆天宇能源科技发展有限公司,FB000900,流通渠道与零售终端,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2552636,格润食品集团股份有限公司,FB000400,食品制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
382287,河南天冠企业集团有限公司,FB000600,酒类制造,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2205876,索拉特特种玻璃(江苏)股份有限公司,FB000340,玻璃包装,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2241565,大连凯洋世界海鲜股份有限公司,FB000150,水产品,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2173448,壹玖壹玖酒类平台科技股份有限公司,FB000920,传统流通渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
2173448,壹玖壹玖酒类平台科技股份有限公司,FB000940,线上电商渠道,BELONGS_TO_IND_NODE,2026-07-14,,联网搜索
