节点code,节点类型,节点名称,证券代码,生效时间,失效时间
102547814,公司,永康控股有限公司,,2026-07-28,
10281586,公司,江苏特味浓食品股份有限公司,,2026-07-28,
10294641,公司,宁波玉健健康科技股份有限公司,,2026-07-28,
10339126,公司,珍酒李渡集团有限公司,,2026-07-28,
10351196,公司,山东艾德森生物科技股份有限公司,,2026-07-28,
1066520,公司,深圳市裕同包装科技股份有限公司,,2026-07-28,
1067549,公司,辽宁金印文化传媒股份有限公司,,2026-07-28,
1068616,公司,深圳市品尚汇酒业集团股份公司,,2026-07-28,
1068963,公司,盛丰物流集团有限公司,,2026-07-28,
1069136,公司,桃李面包股份有限公司,,2026-07-28,
1069255,公司,安徽迎驾贡酒股份有限公司,,2026-07-28,
1069571,公司,祖名豆制品集团股份有限公司,,2026-07-28,
1069688,公司,北京随视传媒科技股份有限公司,,2026-07-28,
1070417,公司,惠州东进农牧股份有限公司,,2026-07-28,
1070551,公司,福建光阳蛋业股份有限公司,,2026-07-28,
1071322,公司,宏图智能数字科技股份有限公司,,2026-07-28,
1071396,公司,贵州国台数智酒业集团股份有限公司,,2026-07-28,
1071537,公司,浙江青莲食品股份有限公司,,2026-07-28,
1072210,公司,湖北稻花香酒业股份有限公司,,2026-07-28,
1072383,公司,透云生物科技集团有限公司,,2026-07-28,
1072412,公司,望湘园(上海)餐饮管理股份有限公司,,2026-07-28,
1072466,公司,湖南盈成油脂工业有限公司,,2026-07-28,
1073175,公司,上海爱婴室商务服务股份有限公司,,2026-07-28,
1073197,公司,四川大胜达中飞包装科技有限公司,,2026-07-28,
1076095,公司,新疆芳香庄园酒业股份有限公司,,2026-07-28,
1079866,公司,金银岛(宁夏)网络科技股份有限公司,,2026-07-28,
1081517,公司,四川菊乐食品股份有限公司,,2026-07-28,
1083230,公司,浙江华统肉制品股份有限公司,,2026-07-28,
1083343,公司,安记食品股份有限公司,,2026-07-28,
1083345,公司,天津一商友谊股份有限公司,,2026-07-28,
1085779,公司,菱花集团有限公司,,2026-07-28,
1086056,公司,四川天味食品集团股份有限公司,,2026-07-28,
1086109,公司,安徽口子酒业股份有限公司,,2026-07-28,
1086336,公司,江苏联通纪元印务股份有限公司,,2026-07-28,
1088039,公司,深圳茂业百货有限公司,,2026-07-28,
1090456,公司,江苏联泰时尚购物广场置业有限公司,,2026-07-28,
1092896,公司,黑龙江恒阳牛业有限责任公司,,2026-07-28,
1102247,公司,杭州市商贸旅游集团有限公司,,2026-07-28,
1106071,公司,江苏淮安苏食肉品有限公司,,2026-07-28,
1106233,公司,山东省盐业集团有限公司,,2026-07-28,
1107228,公司,山东扳倒井股份有限公司,,2026-07-28,
1112384,公司,山东三星集团有限公司,,2026-07-28,
1113093,公司,北京亦庄绿得金种养殖有限公司,,2026-07-28,
1113184,公司,江西天新药业股份有限公司,,2026-07-28,
1114768,公司,君乐宝乳业集团股份有限公司,,2026-07-28,
1114776,公司,兰州庄园牧场股份有限公司,,2026-07-28,
1114957,公司,浙江一鸣食品股份有限公司,,2026-07-28,
1115014,公司,湖北均瑶大健康饮品股份有限公司,,2026-07-28,
1115020,公司,浙江李子园食品股份有限公司,,2026-07-28,
1117897,公司,广东华业包装材料有限公司,,2026-07-28,
1121058,公司,绍兴市国有资本运营有限公司,,2026-07-28,
1121989,公司,浙江大胜达包装股份有限公司,,2026-07-28,
1122057,公司,西安力邦临床营养股份有限公司,,2026-07-28,
1122457,公司,广东新宏泽包装股份有限公司,,2026-07-28,
1123169,公司,辽宁晟麦实业股份有限公司,,2026-07-28,
11237065,公司,大连海宝食品股份有限公司,,2026-07-28,
1123796,公司,通化百泉参业集团有限公司,,2026-07-28,
1124240,公司,上海宝钢包装股份有限公司,,2026-07-28,
1124266,公司,河南省淼雨饮品股份有限公司,,2026-07-28,
1124649,公司,老恒和酿造有限公司,,2026-07-28,
1124826,公司,抚顺独凤轩骨神生物技术股份有限公司,,2026-07-28,
1125000,公司,广新智慧供应链管理(北京)有限公司,,2026-07-28,
1125743,公司,南京雨润食品有限公司,,2026-07-28,
1125981,公司,四川省粮油集团有限责任公司,,2026-07-28,
1126057,公司,山东圣水峪矿泉水有限公司,,2026-07-28,
1126223,公司,安吉智行物流有限公司,,2026-07-28,
1126332,公司,贵州永吉印务股份有限公司,,2026-07-28,
