节点code,节点类型,节点名称,证券代码,生效时间,失效时间
100935831,公司,重庆美泰塑胶股份有限公司,,2026-07-14,
10288466,公司,内蒙古兴洋科技股份有限公司,,2026-07-14,
10289493,公司,江苏艾科维科技股份有限公司,,2026-07-14,
10324124,公司,浙江名瑞智能装备科技股份有限公司,,2026-07-14,
103621228,公司,安徽金鹏香精香料股份有限公司,,2026-07-14,
104108617,公司,深圳丰德康种业股份有限公司,,2026-07-14,
1066261,公司,内蒙古凌志马铃薯科技股份有限公司,,2026-07-14,
1066910,公司,好事达(福建)股份有限公司,,2026-07-14,
1067471,公司,湖北科普达高分子材料股份有限公司,,2026-07-14,
1067848,公司,鄂尔多斯市中轩生化股份有限公司,,2026-07-14,
1068616,公司,深圳市品尚汇酒业集团股份公司,,2026-07-14,
1069140,公司,四川侨源气体股份有限公司,,2026-07-14,
1069571,公司,祖名豆制品集团股份有限公司,,2026-07-14,
1069844,公司,广州弘亚数控机械集团股份有限公司,,2026-07-14,
1070417,公司,惠州东进农牧股份有限公司,,2026-07-14,
1070551,公司,福建光阳蛋业股份有限公司,,2026-07-14,
1071537,公司,浙江青莲食品股份有限公司,,2026-07-14,
1072466,公司,湖南盈成油脂工业有限公司,,2026-07-14,
1073175,公司,上海爱婴室商务服务股份有限公司,,2026-07-14,
1082862,公司,广东京华新材料科技股份有限公司,,2026-07-14,
1083230,公司,浙江华统肉制品股份有限公司,,2026-07-14,
1083232,公司,华祥苑茶业股份有限公司,,2026-07-14,
1083241,公司,广东摩德娜科技股份有限公司,,2026-07-14,
1083345,公司,天津一商友谊股份有限公司,,2026-07-14,
1084805,公司,上海纳尔实业股份有限公司,,2026-07-14,
1086338,公司,广东国美水产食品有限公司,,2026-07-14,
1088039,公司,深圳茂业百货有限公司,,2026-07-14,
1092174,公司,凌云光技术股份有限公司,,2026-07-14,
1092896,公司,黑龙江恒阳牛业有限责任公司,,2026-07-14,
1094951,公司,浙江华江科技股份有限公司,,2026-07-14,
1099858,公司,浙江信戈制冷设备科技有限公司,,2026-07-14,
1102085,公司,杭州科利化工股份有限公司,,2026-07-14,
1102247,公司,杭州市商贸旅游集团有限公司,,2026-07-14,
1106071,公司,江苏淮安苏食肉品有限公司,,2026-07-14,
1112384,公司,山东三星集团有限公司,,2026-07-14,
1117337,公司,靖海集团有限公司,,2026-07-14,
1117371,公司,北大荒垦丰种业股份有限公司,,2026-07-14,
1117886,公司,安徽金田高新材料股份有限公司,,2026-07-14,
1122057,公司,西安力邦临床营养股份有限公司,,2026-07-14,
1122902,公司,大民种业股份有限公司,,2026-07-14,
1123169,公司,辽宁晟麦实业股份有限公司,,2026-07-14,
11237065,公司,大连海宝食品股份有限公司,,2026-07-14,
1123796,公司,通化百泉参业集团有限公司,,2026-07-14,
1124205,公司,安徽皖垦种业股份有限公司,,2026-07-14,
1124358,公司,北京联创种业有限公司,,2026-07-14,
1124734,公司,广东申菱环境系统股份有限公司,,2026-07-14,
1125743,公司,南京雨润食品有限公司,,2026-07-14,
1125981,公司,四川省粮油集团有限责任公司,,2026-07-14,
1126575,公司,河南神马华威塑胶股份有限公司,,2026-07-14,
1126914,公司,贵州永红食品有限公司,,2026-07-14,
1126952,公司,福建东亚水产股份有限公司,,2026-07-14,
1127376,公司,河南秋乐种业科技股份有限公司,,2026-07-14,
1127774,公司,内蒙古蒙都羊业食品股份有限公司,,2026-07-14,
1127817,公司,陕西石羊实业股份有限公司,,2026-07-14,
1128075,公司,江苏苏北粮油股份有限公司,,2026-07-14,
1128297,公司,德清唯信食品有限公司,,2026-07-14,
1129201,公司,青岛国星食品股份有限公司,,2026-07-14,
1129425,公司,浙江江山恒亮蜂产品股份有限公司,,2026-07-14,
1131706,公司,安徽滁州德威新材料有限公司,,2026-07-14,
1133199,公司,重庆帮豪种业股份有限公司,,2026-07-14,
1138211,公司,杭州福膜新材料科技股份有限公司,,2026-07-14,
1146100,公司,云浮市新金山生物科技股份有限公司,,2026-07-14,
1146945,公司,香驰控股有限公司,,2026-07-14,
1147197,公司,伟鸿食品股份有限公司,,2026-07-14,
1148392,公司,苏州海顺包装材料有限公司,,2026-07-14,
