起点节点code,起点节点名称,终点节点id,终点节点名称,主体产业链关系,开始时间,结束时间,数据来源
6110229,四川德康农牧食品集团股份有限公司,AGRI006018,生猪养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
6110229,四川德康农牧食品集团股份有限公司,AGRI006003,家畜养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
6110229,四川德康农牧食品集团股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
6110229,四川德康农牧食品集团股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1126758,贵州川恒化工股份有限公司,AGRI003002,磷肥及磷化工,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1126758,贵州川恒化工股份有限公司,AGRI000003,农化与肥料,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
362177,雏鹰农牧集团股份有限公司,AGRI006018,生猪养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
362177,雏鹰农牧集团股份有限公司,AGRI006003,家畜养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
362177,雏鹰农牧集团股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
362177,雏鹰农牧集团股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
287883,贵州赤天化股份有限公司,AGRI003001,氮肥,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
287883,贵州赤天化股份有限公司,AGRI000003,农化与肥料,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
285993,四川泸天化股份有限公司,AGRI003001,氮肥,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
285993,四川泸天化股份有限公司,AGRI000003,农化与肥料,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1579689,四川省国投羌山科技集团股份有限公司,AGRI006018,生猪养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1579689,四川省国投羌山科技集团股份有限公司,AGRI006003,家畜养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1579689,四川省国投羌山科技集团股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
1579689,四川省国投羌山科技集团股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
299774,山东好当家海洋发展股份有限公司,AGRI006014,海水水产养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
299774,山东好当家海洋发展股份有限公司,AGRI006005,水产养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
299774,山东好当家海洋发展股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
299774,山东好当家海洋发展股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2431328,山东路斯宠物食品股份有限公司,AGRI004017,宠物零食,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2431328,山东路斯宠物食品股份有限公司,AGRI004004,宠物食品,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2431328,山东路斯宠物食品股份有限公司,AGRI000004,饲料工业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2431328,山东路斯宠物食品股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
3271530,乐山巨星农牧股份有限公司,AGRI006018,生猪养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
3271530,乐山巨星农牧股份有限公司,AGRI006003,家畜养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
3271530,乐山巨星农牧股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
3271530,乐山巨星农牧股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
863275,牧原食品集团股份有限公司,AGRI006018,生猪养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
863275,牧原食品集团股份有限公司,AGRI006003,家畜养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
863275,牧原食品集团股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
863275,牧原食品集团股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2843726,江西华亨宠物食品股份有限公司,AGRI004004,宠物食品,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2843726,江西华亨宠物食品股份有限公司,AGRI000004,饲料工业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
2843726,江西华亨宠物食品股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
359180,四川发展龙蟒股份有限公司,AGRI003011,磷酸一铵,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
359180,四川发展龙蟒股份有限公司,AGRI003002,磷肥及磷化工,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
359180,四川发展龙蟒股份有限公司,AGRI000003,农化与肥料,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
4810676,甘肃文祥生态渔业股份有限公司,AGRI006013,淡水水产养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
4810676,甘肃文祥生态渔业股份有限公司,AGRI006005,水产养殖,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
4810676,甘肃文祥生态渔业股份有限公司,AGRI000006,农林牧渔生产,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
4810676,甘肃文祥生态渔业股份有限公司,AGRI000001,农林牧渔行业,BELONGS_TO_IND_NODE,2026-08-03,,联网搜索
