节点code,节点类型,节点名称,证券代码,生效时间,失效时间,业务描述
10294641,公司,宁波玉健健康科技股份有限公司,,2026-08-05,,
10351196,公司,山东艾德森生物科技股份有限公司,,2026-08-05,,
103662404,公司,江苏鸿升生物科技集团股份有限公司,,2026-08-05,,
104108617,公司,深圳丰德康种业股份有限公司,,2026-08-05,,
1066544,公司,武汉回盛生物科技股份有限公司,,2026-08-05,,
1069571,公司,祖名豆制品集团股份有限公司,,2026-08-05,,
1069615,公司,北京依科曼生物技术股份有限公司,,2026-08-05,,
1075953,公司,襄阳正大种业股份有限公司,,2026-08-05,,
1113184,公司,江西天新药业股份有限公司,,2026-08-05,,
1117371,公司,北大荒垦丰种业股份有限公司,,2026-08-05,,
1122033,公司,广东粤海饲料集团股份有限公司,,2026-08-05,,
11237065,公司,大连海宝食品股份有限公司,,2026-08-05,,
1124205,公司,安徽皖垦种业股份有限公司,,2026-08-05,,
1124207,公司,福建天马科技集团股份有限公司,,2026-08-05,,
1126758,公司,贵州川恒化工股份有限公司,,2026-08-05,,
1126881,公司,山东潍坊润丰化工股份有限公司,,2026-08-05,,
1127376,公司,河南秋乐种业科技股份有限公司,,2026-08-05,,
1128075,公司,江苏苏北粮油股份有限公司,,2026-08-05,,
1128642,公司,广东永顺生物制药股份有限公司,,2026-08-05,,
1129425,公司,浙江江山恒亮蜂产品股份有限公司,,2026-08-05,,
1129509,公司,江苏苏利精细化工股份有限公司,,2026-08-05,,
1146212,公司,青岛蔚蓝生物股份有限公司,,2026-08-05,,
1148847,公司,江苏省农垦农业发展股份有限公司,,2026-08-05,,
1149066,公司,家家悦集团股份有限公司,,2026-08-05,,
1153936,公司,绿康生化股份有限公司,,2026-08-05,,
1154345,公司,云南神农农业产业集团股份有限公司,,2026-08-05,,
1164905,公司,金菜地食品股份有限公司,,2026-08-05,,
1164942,公司,湖北裕国菇业股份有限公司,,2026-08-05,,
1165087,公司,大连林家铺子食品股份有限公司,,2026-08-05,,
1165139,公司,河南黄国粮业股份有限公司,,2026-08-05,,
1165147,公司,早康枸杞股份有限公司,,2026-08-05,,
1165282,公司,道道全粮油股份有限公司,,2026-08-05,,
1181094,公司,昆明川金诺化工股份有限公司,,2026-08-05,,
1250151,公司,福建省星源农牧科技股份有限公司,,2026-08-05,,
1252020,公司,浙江省台州市农资股份有限公司,,2026-08-05,,
1301248,公司,沃达农业科技股份有限公司,,2026-08-05,,
1301402,公司,天水众兴菌业科技股份有限公司,,2026-08-05,,
1328248,公司,湖南昊华化工股份有限公司,,2026-08-05,,
1328335,公司,大连百傲化学股份有限公司,,2026-08-05,,
1328583,公司,湖北银丰棉花股份有限公司,,2026-08-05,,
1332121,公司,海南农垦宝橡林产集团股份有限公司,,2026-08-05,,
1333682,公司,山东中农联合生物科技股份有限公司,,2026-08-05,,
1334471,公司,四川国光农化股份有限公司,,2026-08-05,,
1335618,公司,河南金丹乳酸科技股份有限公司,,2026-08-05,,
1335907,公司,安徽久易农业股份有限公司,,2026-08-05,,
1342976,公司,北京颖泰嘉和生物科技股份有限公司,,2026-08-05,,
1356152,公司,湖北黄商集团股份有限公司,,2026-08-05,,
1357513,公司,内蒙古赛科星繁育生物技术(集团)股份有限公司,,2026-08-05,,
1363869,公司,宁夏晓鸣农牧股份有限公司,,2026-08-05,,
1579689,公司,四川省国投羌山科技集团股份有限公司,,2026-08-05,,
160617359,公司,江苏新天地食品股份有限公司,,2026-08-05,,
1672899,公司,山东京博农化科技股份有限公司,,2026-08-05,,
1700243,公司,武汉科前生物股份有限公司,,2026-08-05,,
1711314,公司,湖南金叶众望科技股份有限公司,,2026-08-05,,
1730385,公司,深圳市中海通物流股份有限公司,,2026-08-05,,
1737059,公司,江苏华绿生物科技集团股份有限公司,,2026-08-05,,
1740866,公司,深圳市凯东源现代物流股份有限公司,,2026-08-05,,
1759649,公司,创新美兰(合肥)股份有限公司,,2026-08-05,,
1782626,公司,江西飞宇竹材股份有限公司,,2026-08-05,,
1784970,公司,南通泰禾化工股份有限公司,,2026-08-05,,
1788423,公司,浙江圣达生物药业股份有限公司,,2026-08-05,,
1793219,公司,山东百龙创园生物科技股份有限公司,,2026-08-05,,
1869906,公司,东晓生物科技股份有限公司,,2026-08-05,,
