节点code,节点类型,节点名称,证券代码,生效时间,失效时间,业务描述
10281586,公司,江苏特味浓食品股份有限公司,,2026-08-03,,
10294641,公司,宁波玉健健康科技股份有限公司,,2026-08-03,,
10339126,公司,珍酒李渡集团有限公司,,2026-08-03,,
10351196,公司,山东艾德森生物科技股份有限公司,,2026-08-03,,
1066520,公司,深圳市裕同包装科技股份有限公司,,2026-08-03,,
1069136,公司,桃李面包股份有限公司,,2026-08-03,,
1069255,公司,安徽迎驾贡酒股份有限公司,,2026-08-03,,
1069571,公司,祖名豆制品集团股份有限公司,,2026-08-03,,
1069688,公司,北京随视传媒科技股份有限公司,,2026-08-03,,
1070417,公司,惠州东进农牧股份有限公司,,2026-08-03,,
1071322,公司,宏图智能数字科技股份有限公司,,2026-08-03,,
1072383,公司,透云生物科技集团有限公司,,2026-08-03,,
1072412,公司,望湘园(上海)餐饮管理股份有限公司,,2026-08-03,,
1073175,公司,上海爱婴室商务服务股份有限公司,,2026-08-03,,
1081517,公司,四川菊乐食品股份有限公司,,2026-08-03,,
1083230,公司,浙江华统肉制品股份有限公司,,2026-08-03,,
1083343,公司,安记食品股份有限公司,,2026-08-03,,
1086056,公司,四川天味食品集团股份有限公司,,2026-08-03,,
1086109,公司,安徽口子酒业股份有限公司,,2026-08-03,,
1113184,公司,江西天新药业股份有限公司,,2026-08-03,,
1114776,公司,兰州庄园牧场股份有限公司,,2026-08-03,,
1114957,公司,浙江一鸣食品股份有限公司,,2026-08-03,,
1115014,公司,湖北均瑶大健康饮品股份有限公司,,2026-08-03,,
1115020,公司,浙江李子园食品股份有限公司,,2026-08-03,,
1121989,公司,浙江大胜达包装股份有限公司,,2026-08-03,,
1122457,公司,广东新宏泽包装股份有限公司,,2026-08-03,,
11237065,公司,大连海宝食品股份有限公司,,2026-08-03,,
1124240,公司,上海宝钢包装股份有限公司,,2026-08-03,,
1124649,公司,老恒和酿造有限公司,,2026-08-03,,
1124826,公司,抚顺独凤轩骨神生物技术股份有限公司,,2026-08-03,,
1126332,公司,贵州永吉印务股份有限公司,,2026-08-03,,
1128075,公司,江苏苏北粮油股份有限公司,,2026-08-03,,
1128945,公司,农夫山泉股份有限公司,,2026-08-03,,
1129425,公司,浙江江山恒亮蜂产品股份有限公司,,2026-08-03,,
1146212,公司,青岛蔚蓝生物股份有限公司,,2026-08-03,,
1146481,公司,仲景食品股份有限公司,,2026-08-03,,
1148393,公司,上海海顺新型药用包装材料股份有限公司,,2026-08-03,,
1148852,公司,老娘舅餐饮股份有限公司,,2026-08-03,,
1149066,公司,家家悦集团股份有限公司,,2026-08-03,,
1151380,公司,龙利得智能科技股份有限公司,,2026-08-03,,
1153559,公司,广东百味佳味业科技股份有限公司,,2026-08-03,,
1154217,公司,威龙葡萄酒股份有限公司,,2026-08-03,,
1164905,公司,金菜地食品股份有限公司,,2026-08-03,,
1164942,公司,湖北裕国菇业股份有限公司,,2026-08-03,,
1165087,公司,大连林家铺子食品股份有限公司,,2026-08-03,,
1165147,公司,早康枸杞股份有限公司,,2026-08-03,,
1165282,公司,道道全粮油股份有限公司,,2026-08-03,,
1184363,公司,翠华控股有限公司,,2026-08-03,,
1231812,公司,香港科技探索有限公司,,2026-08-03,,
1253707,公司,上海元祖梦果子股份有限公司,,2026-08-03,,
1281797,公司,广东颐丰智慧农业股份有限公司,,2026-08-03,,
1284471,公司,东莞铭丰包装股份有限公司,,2026-08-03,,
130138962,公司,广东百利食品股份有限公司,,2026-08-03,,
1301991,公司,新疆百富餐饮股份有限公司,,2026-08-03,,
1302726,公司,宁波喜悦智行科技股份有限公司,,2026-08-03,,
1333934,公司,西安环球印务股份有限公司,,2026-08-03,,
1334207,公司,欧浦智网股份有限公司,,2026-08-03,,
1334751,公司,华凯易佰科技股份有限公司,,2026-08-03,,
1335314,公司,熊猫乳品集团股份有限公司,,2026-08-03,,
1335618,公司,河南金丹乳酸科技股份有限公司,,2026-08-03,,
1345775,公司,草原兴发食品科技(北京)股份有限公司,,2026-08-03,,
1352054,公司,千禾味业食品股份有限公司,,2026-08-03,,
1352060,公司,山东惠发食品股份有限公司,,2026-08-03,,
1356152,公司,湖北黄商集团股份有限公司,,2026-08-03,,
1364185,公司,紫燕食品集团股份有限公司,,2026-08-03,,
1372375,公司,苏州华源控股股份有限公司,,2026-08-03,,
145530801,公司,IFBH Limited,,2026-08-03,,
153718556,公司,成都太和坊食品股份有限公司,,2026-08-03,,
160617359,公司,江苏新天地食品股份有限公司,,2026-08-03,,
1677459,公司,驰骋控股集团股份有限公司,,2026-08-03,,
1677803,公司,三只松鼠股份有限公司,,2026-08-03,,
1700240,公司,南京沪江复合材料股份有限公司,,2026-08-03,,
1703057,公司,浙江茗皇天然食品开发股份有限公司,,2026-08-03,,
1715671,公司,广东金冠科技股份有限公司,,2026-08-03,,
1730385,公司,深圳市中海通物流股份有限公司,,2026-08-03,,
1736208,公司,东鹏饮料(集团)股份有限公司,,2026-08-03,,
1736380,公司,重庆旺峰肉业股份有限公司,,2026-08-03,,
1740866,公司,深圳市凯东源现代物流股份有限公司,,2026-08-03,,
1741704,公司,厦门吉宏科技股份有限公司,,2026-08-03,,
1751446,公司,广东原尚物流股份有限公司,,2026-08-03,,
1751449,公司,北京国联视讯信息技术股份有限公司,,2026-08-03,,
1761212,公司,中国铝罐控股有限公司,,2026-08-03,,
1762105,公司,金徽酒股份有限公司,,2026-08-03,,
1768271,公司,新疆汇嘉时代百货股份有限公司,,2026-08-03,,
1783585,公司,南通光合生物技术股份有限公司,,2026-08-03,,
1784328,公司,广东绿之彩科技股份有限公司,,2026-08-03,,
1788423,公司,浙江圣达生物药业股份有限公司,,2026-08-03,,
1792519,公司,青岛食品股份有限公司,,2026-08-03,,
1793219,公司,山东百龙创园生物科技股份有限公司,,2026-08-03,,
1797804,公司,香飘飘食品股份有限公司,,2026-08-03,,
1867990,公司,深圳市顺电连锁股份有限公司,,2026-08-03,,
1868522,公司,佳禾食品工业股份有限公司,,2026-08-03,,
1869906,公司,东晓生物科技股份有限公司,,2026-08-03,,
